#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Replicons,Scaffolds,Release Date
"Helicobacter winghamensis","Bacteria;Proteobacteria;delta/epsilon subdivisions","2015D-0170","SAMN04545302","PRJNA239251","GCA_014931175.1","Complete","chromosome:NZ_CP063087.1/CP063087.1",1,"2020-10-26T00:00:00Z"
"Fusobacterium gonidiaformans ATCC 25563","Bacteria;Fusobacteria;Fusobacteriia","ATCC 25563","SAMN08501140","PRJNA433545","GCA_003019695.1","Complete","chromosome:NZ_CP028106.1/CP028106.1",1,"2018-03-26T00:00:00Z"
"Fusobacterium mortiferum ATCC 9817","Bacteria;Fusobacteria;Fusobacteriia","ATCC 9817","SAMN08501148","PRJNA433545","GCA_003019315.1","Complete","chromosome:NZ_CP028102.1/CP028102.1",1,"2018-03-26T00:00:00Z"
"Fusobacterium varium ATCC 27725","Bacteria;Fusobacteria;Fusobacteriia","ATCC 27725","SAMN08501142","PRJNA433545","GCA_003019655.1","Complete","chromosome:NZ_CP028103.1/CP028103.1; plasmid pFvar_27725:NZ_CP028104.1/CP028104.1",2,"2018-03-26T00:00:00Z"
"Rhodococcus hoagii","Bacteria;Terrabacteria group;Actinobacteria","DSSKP-R-001","SAMN08707448","PRJNA438171","GCA_003013675.1","Complete","chromosome:NZ_CP027793.1/CP027793.1; plasmid plas1:NZ_CP027794.1/CP027794.1; plasmid plas2:NZ_CP027795.1/CP027795.1",3,"2018-03-22T00:00:00Z"
"Limosilactobacillus vaginalis","Bacteria;Terrabacteria group;Firmicutes","LV515","SAMN12784813","PRJNA566211","GCA_009362935.1","Complete","chromosome:NZ_CP045240.1/CP045240.1",1,"2019-10-27T00:00:00Z"
"Erysipelothrix rhusiopathiae","Bacteria;Terrabacteria group;Firmicutes","NCTC8163","SAMEA48399418","PRJEB6403","GCA_900637845.1","Complete","chromosome 1:NZ_LR134439.1/LR134439.1",1,"2018-12-19T00:00:00Z"
"Lactobacillus amylolyticus","Bacteria;Terrabacteria group;Firmicutes","L5","SAMN09867391","PRJNA486879","GCA_003999355.1","Complete","chromosome:NZ_CP031835.1/CP031835.1; plasmid p1:NZ_CP031836.1/CP031836.1",2,"2019-01-08T00:00:00Z"
"Starkeya novella DSM 506","Bacteria;Proteobacteria;Alphaproteobacteria","DSM 506","SAMN02598514","PRJNA37659","GCA_000092925.1","Complete","chromosome:NC_014217.1/CP002026.1",1,"2010-05-27T00:00:00Z"
"Cardiobacterium hominis","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC10426","SAMEA4412685","PRJEB6403","GCA_900637305.1","Complete","chromosome 1:NZ_LR134365.1/LR134365.1",1,"2018-12-19T00:00:00Z"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","FH-1","SAMN14853914","PRJNA631154","GCA_013305245.1","Complete","chromosome:NZ_CP054254.1/CP054254.1; plasmid unnamed:NZ_CP054255.1/CP054255.1",2,"2020-06-09T00:00:00Z"
"Segniliparus rotundus DSM 44985","Bacteria;Terrabacteria group;Actinobacteria","DSM 44985","SAMN02598516","PRJNA37711","GCA_000092825.1","Complete","chromosome:NC_014168.1/CP001958.1",1,"2010-05-18T00:00:00Z"
"Syntrophothermus lipocalidus DSM 12680","Bacteria;Terrabacteria group;Firmicutes","DSM 12680","SAMN02598518","PRJNA37873","GCA_000092405.1","Complete","chromosome:NC_014220.1/CP002048.1",1,"2010-05-28T00:00:00Z"
"Marivirga tractuosa DSM 4126","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 4126","SAMN00138949","PRJNA37901","GCA_000183425.1","Complete","chromosome:NC_014759.1/CP002349.1; plasmid pFTRAC01:NC_014750.1/CP002350.1",2,"2010-11-30T00:00:00Z"
"Arcanobacterium haemolyticum","Bacteria;Terrabacteria group;Actinobacteria","NCTC8452","SAMEA4030753","PRJEB6403","GCA_900475915.1","Complete","chromosome 1:NZ_LS483427.1/LS483427.1",1,"2018-06-17T00:00:00Z"
"Desulfarculus baarsii DSM 2075","Bacteria;Proteobacteria;delta/epsilon subdivisions","DSM 2075","SAMN02598521","PRJNA37955","GCA_000143965.1","Complete","chromosome:NC_014365.1/CP002085.1",1,"2010-07-29T00:00:00Z"
"Micromonospora aurantiaca ATCC 27029","Bacteria;Terrabacteria group;Actinobacteria","ATCC 27029","SAMN00006196","PRJNA37957","GCA_000145235.1","Complete","chromosome:NC_014391.1/CP002162.1",1,"2010-08-11T00:00:00Z"
"Corynebacterium kroppenstedtii DSM 44385","Bacteria;Terrabacteria group;Actinobacteria","DSM 44385","SAMN02603033","PRJNA38011","GCA_000023145.1","Complete","chromosome:NC_012704.1/CP001620.1",1,"2009-05-19T00:00:00Z"
"Pseudodesulfovibrio aespoeensis Aspo-2","Bacteria;Proteobacteria;delta/epsilon subdivisions","Aspo-2","SAMN00713573","PRJNA37869","GCA_000176915.2","Complete","chromosome:NC_014844.1/CP002431.1",1,"2011-01-04T00:00:00Z"
"Thermaerobacter marianensis DSM 12885","Bacteria;Terrabacteria group;Firmicutes","DSM 12885","SAMN00713570","PRJNA38025","GCA_000184705.1","Complete","chromosome:NC_014831.1/CP002344.1",1,"2010-12-29T00:00:00Z"
"Syntrophobotulus glycolicus DSM 8271","Bacteria;Terrabacteria group;Firmicutes","DSM 8271","SAMN00216969","PRJNA38111","GCA_000190635.1","Complete","chromosome:NC_015172.1/CP002547.1",1,"2011-03-01T00:00:00Z"
"Leadbetterella byssophila DSM 17132","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 17132","SAMN00191237","PRJNA38283","GCA_000166395.1","Complete","chromosome:NC_014655.1/CP002305.1",1,"2010-11-12T00:00:00Z"
"Parachlamydia acanthamoebae UV-7","Bacteria;PVC group;Chlamydiae","UV-7","SAMEA2272163","PRJEA49033","GCA_000253035.1","Complete","chromosome:NC_015702.1/FR872580.1",1,"2011-06-21T00:00:00Z"
"Truepera radiovictrix DSM 17093","Bacteria;Terrabacteria group;Deinococcus-Thermus","DSM 17093","SAMN02598522","PRJNA38371","GCA_000092425.1","Complete","chromosome:NC_014221.1/CP002049.1",1,"2010-05-28T00:00:00Z"
"Bacillus cellulosilyticus DSM 2522","Bacteria;Terrabacteria group;Firmicutes","DSM 2522","SAMN00007429","PRJNA38423","GCA_000177235.2","Complete","chromosome:NC_014829.1/CP002394.1",1,"2010-12-27T00:00:00Z"
"Acinetobacter nosocomialis M2","Bacteria;Proteobacteria;Gammaproteobacteria","M2","SAMN02471153","PRJNA541289","GCA_005281455.1","Complete","chromosome:NZ_CP040105.1/CP040105.1",1,"2019-05-13T00:00:00Z"
"Streptomyces griseus subsp. griseus NBRC 13350","Bacteria;Terrabacteria group;Actinobacteria","NBRC 13350","SAMD00060929","PRJDA20085","GCA_000010605.1","Complete","chromosome:NC_010572.1/AP009493.1",1,"2008-04-08T23:27:00Z"
"Desulfurispirillum indicum S5","Bacteria;Chrysiogenetes;Chrysiogenetes","S5","SAMN02232016","PRJNA38575","GCA_000177635.2","Complete","chromosome:NC_014836.1/CP002432.1",1,"2011-01-04T00:00:00Z"
"Rhodomicrobium vannielii ATCC 17100","Bacteria;Proteobacteria;Alphaproteobacteria","ATCC 17100","SAMN00007427","PRJNA38253","GCA_000166055.1","Complete","chromosome:NC_014664.1/CP002292.1",1,"2010-11-05T00:00:00Z"
"Streptococcus oralis ATCC 35037","Bacteria;Terrabacteria group;Firmicutes","NCTC11427","SAMEA3936797","PRJEB6403","GCA_900637025.1","Complete","chromosome 1:NZ_LR134336.1/LR134336.1",1,"2018-12-19T00:00:00Z"
"Actinomyces viscosus","Bacteria;Terrabacteria group;Actinobacteria","NCTC10951","SAMEA101153668","PRJEB6403","GCA_900637975.1","Complete","chromosome 1:NZ_LR134477.1/LR134477.1",1,"2018-12-19T00:00:00Z"
"Atopobium parvulum DSM 20469","Bacteria;Terrabacteria group;Actinobacteria","DSM 20469","SAMN00001907","PRJNA29401","GCA_000024225.1","Complete","chromosome:NC_013203.1/CP001721.1",1,"2009-09-09T00:00:00Z"
"Gemella morbillorum","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_741","SAMN11056456","PRJNA231221","GCA_009730315.1","Complete","chromosome:NZ_CP046314.1/CP046314.1",1,"2019-12-05T00:00:00Z"
"Megamonas hypermegale","Bacteria;Terrabacteria group;Firmicutes","NCTC10570","SAMEA4364220","PRJEB6403","GCA_900187035.1","Complete","chromosome 1:NZ_LT906446.1/LT906446.1",1,"2017-08-15T00:00:00Z"
"Zunongwangia profunda SM-A87","Bacteria;FCB group;Bacteroidetes/Chlorobi group","SMA-87","SAMN02603855","PRJNA38641","GCA_000023465.1","Complete","chromosome:NC_014041.1/CP001650.1",1,"2010-04-21T00:00:00Z"
"Thermoanaerobacter pseudethanolicus ATCC 33223","Bacteria;Terrabacteria group;Firmicutes","ATCC 33223; 39E","SAMN02598314","PRJNA13901","GCA_000019085.1","Complete","chromosome:NC_010321.1/CP000924.1",1,"2008-02-05T00:00:00Z"
"Acidovorax citrulli AAC00-1","Bacteria;Proteobacteria;Betaproteobacteria","AAC00-1","SAMN02598334","PRJNA15708","GCA_000015325.1","Complete","chromosome:NC_008752.1/CP000512.1",1,"2007-01-04T00:00:00Z"
"Magnetospirillum magneticum AMB-1","Bacteria;Proteobacteria;Alphaproteobacteria","AMB-1","SAMD00061077","PRJNA16217","GCA_000009985.1","Complete","chromosome:NC_007626.1/AP007255.1",1,"2005-11-30T00:00:00Z"
"Pseudomonas syringae pv. tomato str. DC3000","Bacteria;Proteobacteria;Gammaproteobacteria","DC3000","SAMN02604017","PRJNA359","GCA_000007805.1","Complete","chromosome:NC_004578.1/AE016853.1; plasmid pDC3000A:NC_004633.1/AE016855.1; plasmid pDC3000B:NC_004632.1/AE016854.1",3,"2003-03-05T00:00:00Z"
"Corynebacterium ammoniagenes","Bacteria;Terrabacteria group;Actinobacteria","MGYG-HGUT-01533","SAMEA5851036","PRJEB33885","GCA_902381765.1","Complete","chromosome 1:NZ_LR698967.1/LR698967.1",1,"2019-08-09T00:00:00Z"
"Prevotella oris","Bacteria;FCB group;Bacteroidetes/Chlorobi group","NCTC13071","SAMEA4535752","PRJEB6403","GCA_900637655.1","Complete","chromosome 1:NZ_LR134384.1/LR134384.1",1,"2018-12-19T00:00:00Z"
"Acinetobacter calcoaceticus","Bacteria;Proteobacteria;Gammaproteobacteria","CA16","SAMN06197019","PRJNA358196","GCA_002055515.1","Complete","chromosome:NZ_CP020000.1/CP020000.1; plasmid pCA16:NZ_CP020001.1/CP020001.1",2,"2017-03-21T00:00:00Z"
"Acinetobacter junii","Bacteria;Proteobacteria;Gammaproteobacteria","lzh-X15","SAMN07840124","PRJNA416043","GCA_002761875.1","Complete","chromosome:NZ_CP024632.1/CP024632.1",1,"2017-11-08T00:00:00Z"
"Methylotenera mobilis JLW8","Bacteria;Proteobacteria;Betaproteobacteria","JLW8","SAMN00017443","PRJNA33319","GCA_000023705.1","Complete","chromosome:NC_012968.1/CP001672.1",1,"2009-07-15T00:00:00Z"
"Corynebacterium resistens DSM 45100","Bacteria;Terrabacteria group;Actinobacteria","DSM 45100","SAMN02603065","PRJNA39683","GCA_000177535.2","Complete","chromosome:NC_015673.1/CP002857.1",1,"2011-06-15T00:00:00Z"
"Ethanoligenens harbinense YUAN-3","Bacteria;Terrabacteria group;Firmicutes","YUAN-3","SAMN00008641","PRJNA421875","GCA_003020045.1","Complete","chromosome:NZ_CP025286.1/CP025286.1",1,"2018-03-27T00:00:00Z"
"Vibrio fluvialis","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_104","SAMN03996321","PRJNA231221","GCA_001558415.2","Complete","chromosome 1:NZ_CP014034.2/CP014034.2; chromosome 2:NZ_CP014035.2/CP014035.2",2,"2016-02-11T00:00:00Z"
"Pantoea stewartii","Bacteria;Proteobacteria;Gammaproteobacteria","ZJ-FGZX1","SAMN14150199","PRJNA607905","GCA_011044475.1","Complete","chromosome:NZ_CP049115.1/CP049115.1; plasmid unnamed1:NZ_CP049116.1/CP049116.1; plasmid unnamed2:NZ_CP049117.1/CP049117.1",3,"2020-03-01T00:00:00Z"
"[Clostridium] innocuum","Bacteria;Terrabacteria group;Firmicutes","ATCC 14501","SAMN14089795","PRJNA606345","GCA_012317185.1","Complete","chromosome:NZ_CP048838.1/CP048838.1",1,"2020-04-15T00:00:00Z"
"Spirochaeta thermophila DSM 6578","Bacteria;Spirochaetes;Spirochaetia","DSM 6578","SAMN00191235","PRJNA50823","GCA_000184345.2","Complete","chromosome:NC_017583.1/CP002903.1",1,"2011-07-06T00:00:00Z"
"Methylotenera versatilis 301","Bacteria;Proteobacteria;Betaproteobacteria","301","SAMN02598526","PRJNA39983","GCA_000093025.1","Complete","chromosome:NC_014207.1/CP002056.1",1,"2010-06-01T00:00:00Z"
"Bacillus smithii","Bacteria;Terrabacteria group;Firmicutes","DSM 4216","SAMN03246763","PRJNA258357","GCA_001050115.1","Complete","chromosome 1:NZ_CP012024.1/CP012024.1; plasmid pDSM4216:NZ_CP012025.1/CP012025.1",2,"2015-07-08T00:00:00Z"
"Phocaeicola salanitronis DSM 18170","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 18170","SAMN00713589","PRJNA40055","GCA_000190575.1","Complete","chromosome:NC_015164.1/CP002530.1; plasmid pBACSA01:NC_015165.1/CP002531.1; plasmid pBACSA02:NC_015168.1/CP002532.1; plasmid pBACSA03:NC_015166.1/CP002533.1",4,"2011-02-28T00:00:00Z"
"Thermodesulfatator indicus DSM 15286","Bacteria;Thermodesulfobacteria;Thermodesulfobacteria","DSM 15286","SAMN02232057","PRJNA40057","GCA_000217795.1","Complete","chromosome:NC_015681.1/CP002683.1",1,"2011-06-10T00:00:00Z"
"Pasteurella dagmatis","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC11617","SAMEA4362423","PRJEB6403","GCA_900186835.1","Complete","chromosome 1:NZ_LT906448.1/LT906448.1",1,"2017-08-15T00:00:00Z"
"Caldicellulosiruptor lactoaceticus 6A","Bacteria;Terrabacteria group;Firmicutes","6A","SAMN00713563","PRJNA40219","GCA_000193435.3","Complete","chromosome:NC_015949.1/CP003001.1",1,"2011-08-22T00:00:00Z"
"Dehalogenimonas lykanthroporepellens BL-DC-9","Bacteria;Terrabacteria group;Chloroflexi","BL-DC-9","SAMN02598529","PRJNA40221","GCA_000143165.1","Complete","chromosome:NC_014314.1/CP002084.1",1,"2010-06-25T00:00:00Z"
"Oceanithermus profundus DSM 14977","Bacteria;Terrabacteria group;Deinococcus-Thermus","DSM 14977","SAMN00138957","PRJNA40223","GCA_000183745.1","Complete","chromosome:NC_014761.1/CP002361.1; plasmid pOCEPR01:NC_014753.1/CP002362.1",2,"2010-12-02T00:00:00Z"
"Nitrosococcus watsonii C-113","Bacteria;Proteobacteria;Gammaproteobacteria","C-113","SAMN02598531","PRJNA40331","GCA_000143085.1","Complete","chromosome:NC_014315.1/CP002086.1; plasmid pNWAT01:NC_014316.1/CP002087.1; plasmid pNWAT02:NC_014317.1/CP002088.1",3,"2010-06-25T00:00:00Z"
"Caldicellulosiruptor obsidiansis OB47","Bacteria;Terrabacteria group;Firmicutes","OB47","SAMN00713559","PRJNA40355","GCA_000145215.1","Complete","chromosome:NC_014392.1/CP002164.1",1,"2010-08-11T00:00:00Z"
"Pediococcus acidilactici","Bacteria;Terrabacteria group;Firmicutes","PMC65","SAMN14916503","PRJNA632644","GCA_013127755.1","Complete","chromosome:NZ_CP053421.1/CP053421.1",1,"2020-05-20T00:00:00Z"
"Vibrio metschnikovii","Bacteria;Proteobacteria;Gammaproteobacteria","9502-00","SAMN12648266","PRJNA266293","GCA_009763765.1","Complete","chromosome 1:NZ_CP046793.1/CP046793.1; chromosome 2:NZ_CP046794.1/CP046794.1",2,"2019-12-18T00:00:00Z"
"Grimontia hollisae","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_111","SAMN03996327","PRJNA231221","GCA_001558255.2","Complete","chromosome 1:NZ_CP014056.2/CP014056.2; chromosome 2:NZ_CP014055.2/CP014055.2",2,"2016-02-11T00:00:00Z"
"Vibrio furnissii","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_777","SAMN11056492","PRJNA231221","GCA_006364355.1","Complete","chromosome 1:NZ_CP040990.1/CP040990.1; chromosome 2:NZ_CP040991.1/CP040991.1; plasmid unnamed1:NZ_CP040989.1/CP040989.1",3,"2019-06-19T00:00:00Z"
"Pseudonocardia dioxanivorans CB1190","Bacteria;Terrabacteria group;Actinobacteria","CB1190","SAMN00713596","PRJNA40557","GCA_000196675.1","Complete","chromosome:NC_015312.1/CP002593.1; plasmid pPSED01:NC_015314.1/CP002594.1; plasmid pPSED03:NC_015313.1/CP002598.1",3,"2011-03-28T00:00:00Z"
"Parageobacillus thermoglucosidasius","Bacteria;Terrabacteria group;Firmicutes","NCIMB 11955","SAMN05416582","PRJNA330787","GCA_001700985.1","Complete","chromosome:NZ_CP016622.1/CP016622.1; plasmid pNCI001:NZ_CP016623.1/CP016623.1; plasmid pNCI002:NZ_CP016624.1/CP016624.1",3,"2016-08-09T00:00:00Z"
"Caldicellulosiruptor hydrothermalis 108","Bacteria;Terrabacteria group;Firmicutes","108","SAMN00713562","PRJNA40831","GCA_000166355.1","Complete","chromosome:NC_014652.1/CP002219.1",1,"2010-11-10T00:00:00Z"
"Caldicellulosiruptor owensensis OL","Bacteria;Terrabacteria group;Firmicutes","OL","SAMN00713561","PRJNA40833","GCA_000166335.1","Complete","chromosome:NC_014657.1/CP002216.1",1,"2010-11-10T00:00:00Z"
"Leuconostoc kimchii IMSNU 11154","Bacteria;Terrabacteria group;Firmicutes","IMSNU 11154","SAMN02603394","PRJNA40837","GCA_000092505.1","Complete","chromosome:NC_014136.1/CP001758.1; plasmid LkipL4701:NC_014131.1/CP001753.1; plasmid LkipL4704:NC_014132.1/CP001754.1; plasmid LkipL4719:NC_014133.1/CP001755.1; plasmid LkipL4726:NC_014134.1/CP001756.1; plasmid LkipL48:NC_014135.1/CP001757.1",6,"2010-05-06T00:00:00Z"
"Corynebacterium pseudotuberculosis C231","Bacteria;Terrabacteria group;Actinobacteria","C231","SAMN02604117","PRJNA40875","GCA_000144675.2","Complete","chromosome:NC_017301.2/CP001829.2",1,"2010-08-05T00:00:00Z"
"Cellulosilyticum lentocellum DSM 5427","Bacteria;Terrabacteria group;Firmicutes","DSM 5427","SAMN00013959","PRJNA41511","GCA_000178835.2","Complete","chromosome:NC_015275.1/CP002582.1",1,"2011-03-22T00:00:00Z"
"Pseudothermotoga thermarum DSM 5069","Bacteria;Thermotogae;Thermotogae","DSM 5069","SAMN02232059","PRJNA41517","GCA_000217815.1","Complete","chromosome:NC_015707.1/CP002351.1",1,"2011-06-10T00:00:00Z"
"Cellulophaga algicola DSM 14237","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 14237","SAMN00190054","PRJNA41529","GCA_000186265.1","Complete","chromosome:NC_014934.1/CP002453.1",1,"2011-01-18T00:00:00Z"
"Veillonella parvula","Bacteria;Terrabacteria group;Firmicutes","SKV38","SAMEA6589604","PRJEB36442","GCA_902810435.1","Complete","chromosome 1:NZ_LR778174.1/LR778174.1",1,"2020-04-27T00:00:00Z"
"Alicycliphilus denitrificans","Bacteria;Proteobacteria;Betaproteobacteria","DP3","SAMN14566246","PRJNA624042","GCA_012530715.1","Complete","chromosome:NZ_CP051298.1/CP051298.1; plasmid pDP3:NZ_CP051297.1/CP051297.1",2,"2020-04-20T00:00:00Z"
"Cupriavidus necator H16","Bacteria;Proteobacteria;Betaproteobacteria","H16","SAMN11372030","PRJNA531660","GCA_004798725.1","Complete","chromosome 1:NZ_CP039287.1/CP039287.1; chromosome 2:NZ_CP039288.1/CP039288.1; plasmid pHG1:NZ_CP039289.1/CP039289.1",3,"2019-04-17T00:00:00Z"
"Bacillus cytotoxicus","Bacteria;Terrabacteria group;Firmicutes","CH_13","SAMN07367959","PRJNA394959","GCA_002250945.2","Complete","chromosome:NZ_CP024109.1/CP024109.1; plasmid pCh13_79:NZ_CP024110.1/CP024110.1",2,"2017-10-23T00:00:00Z"
"Mesorhizobium ciceri biovar biserrulae","Bacteria;Proteobacteria;Alphaproteobacteria","WSM1284","SAMN04604739","PRJNA317273","GCA_001618845.1","Complete","chromosome:NZ_CP015064.1/CP015064.1; plasmid pMc1284:NZ_CP015065.1/CP015065.1",2,"2016-04-12T00:00:00Z"
"Pseudomonas amygdali pv. tabaci str. ATCC 11528","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC 11528","SAMN02471315","PRJNA38647","GCA_000145945.2","Complete","chromosome:NZ_CP042804.1/CP042804.1; plasmid pTab1:NZ_CP042805.1/CP042805.1",2,"2019-08-09T00:00:00Z"
"Deinococcus proteolyticus MRP","Bacteria;Terrabacteria group;Deinococcus-Thermus","MRP","SAMN00016729","PRJNA41911","GCA_000190555.1","Complete","chromosome:NC_015161.1/CP002536.1; plasmid pDEIPR01:NC_015169.1/CP002537.1; plasmid pDEIPR02:NC_015162.1/CP002538.1; plasmid pDEIPR03:NC_015170.1/CP002539.1; plasmid pDEIPR04:NC_015163.1/CP002540.1",5,"2011-02-28T00:00:00Z"
"Bacteroides helcogenes P 36-108","Bacteria;FCB group;Bacteroidetes/Chlorobi group","P 36-108","SAMN00138952","PRJNA41913","GCA_000186225.1","Complete","chromosome:NC_014933.1/CP002352.1",1,"2011-01-18T00:00:00Z"
"Acinetobacter pittii PHEA-2","Bacteria;Proteobacteria;Gammaproteobacteria","PHEA-2","SAMN02603040","PRJNA51267","GCA_000191145.1","Complete","chromosome:NC_016603.1/CP002177.1",1,"2011-03-03T00:00:00Z"
"Scardovia inopinata JCM 12537","Bacteria;Terrabacteria group;Actinobacteria","JCM 12537","SAMD00061049","PRJDB65","GCA_001042695.1","Complete","chromosome Unknown:NZ_AP012334.1/AP012334.1",1,"2015-03-24T00:00:00Z"
"Simonsiella muelleri ATCC 29453","Bacteria;Proteobacteria;Betaproteobacteria","ATCC 29453","SAMN06230011","PRJNA361301","GCA_002951835.1","Complete","chromosome:NZ_CP019448.1/CP019448.1",1,"2018-02-02T00:00:00Z"
"Riemerella anatipestifer ATCC 11845 = DSM 15868","Bacteria;FCB group;Bacteroidetes/Chlorobi group","ATCC 11845","SAMN02602991","PRJNA63599","GCA_000252855.1","Complete","chromosome:NC_017045.1/CP003388.1",1,"2012-03-15T00:00:00Z"
"Paludibacter propionicigenes WB4","Bacteria;FCB group;Bacteroidetes/Chlorobi group","WB4","SAMN00016731","PRJNA42009","GCA_000183135.1","Complete","chromosome:NC_014734.1/CP002345.1",1,"2010-11-23T00:00:00Z"
"[Clostridium] saccharolyticum WM1","Bacteria;Terrabacteria group;Firmicutes","WM1","SAMN00017134","PRJNA42097","GCA_000144625.1","Complete","chromosome:NC_014376.1/CP002109.1",1,"2010-08-05T00:00:00Z"
"Mahella australiensis 50-1 BON","Bacteria;Terrabacteria group;Firmicutes","50-1 BON","SAMN02232034","PRJNA42243","GCA_000213255.1","Complete","chromosome:NC_015520.1/CP002360.1",1,"2011-05-12T00:00:00Z"
"Thermoanaerobacter wiegelii Rt8.B1","Bacteria;Terrabacteria group;Firmicutes","Rt8.B1","SAMN00016423","PRJNA42251","GCA_000147695.3","Complete","chromosome:NC_015958.1/CP002991.1",1,"2011-08-23T00:00:00Z"
"Staphylococcus lugdunensis","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_141","SAMN03996285","PRJNA231221","GCA_001558775.1","Complete","chromosome:NZ_CP014022.1/CP014022.1",1,"2016-02-11T00:00:00Z"
"Parascardovia denticolens DSM 10105 = JCM 12538","Bacteria;Terrabacteria group;Actinobacteria","JCM 12538","SAMD00061048","PRJDB64","GCA_001042675.1","Complete","chromosome Unknown:NZ_AP012333.1/AP012333.1",1,"2015-03-24T00:00:00Z"
"Caldicellulosiruptor kristjanssonii I77R1B","Bacteria;Terrabacteria group;Firmicutes","I77R1B","SAMN00713564","PRJNA41727","GCA_000166695.1","Complete","chromosome:NC_014721.1/CP002326.1; plasmid pCALKR01:NC_014719.1/CP002327.1",2,"2010-11-17T00:00:00Z"
